master_id,expansion,cn,card_type,sub_type,name,rarity,regulation,is_mirror
s7r_001_067,S7R,001/067,ポケモン,草,ハネッコ,C,E,
s7r_002_067,S7R,002/067,ポケモン,草,ポポッコ,C,E,
s7r_003_067,S7R,003/067,ポケモン,草,ワタッコ,R,E,
s7r_004_067,S7R,004/067,ポケモン,草,トロピウス,C,E,
s7r_005_067,S7R,005/067,ポケモン,草,ヤナップ,C,E,
s7r_006_067,S7R,006/067,ポケモン,草,ヤナッキー,C,E,
s7r_007_067,S7R,007/067,ポケモン,草,オーロットV,RR,E,
s7r_008_067,S7R,008/067,ポケモン,草,オーロットVMAX,RRR,E,
s7r_009_067,S7R,009/067,ポケモン,草,カジッチュ,C,E,
s7r_010_067,S7R,010/067,ポケモン,炎,ロコン,C,E,
s7r_011_067,S7R,011/067,ポケモン,炎,キュウコン,C,E,
s7r_012_067,S7R,012/067,ポケモン,炎,ビクティニ,R,E,
s7r_013_067,S7R,013/067,ポケモン,炎,バオップ,C,E,
s7r_014_067,S7R,014/067,ポケモン,炎,バオッキー,C,E,
s7r_015_067,S7R,015/067,ポケモン,炎,ウルガモスV,RR,E,
s7r_016_067,S7R,016/067,ポケモン,炎,ヤクデ,C,E,
s7r_017_067,S7R,017/067,ポケモン,炎,マルヤクデ,U,E,
s7r_018_067,S7R,018/067,ポケモン,水,シェルダー,C,E,
s7r_019_067,S7R,019/067,ポケモン,水,パルシェン,U,E,
s7r_020_067,S7R,020/067,ポケモン,水,ギャラドスV,RR,E,
s7r_021_067,S7R,021/067,ポケモン,水,ギャラドスVMAX,RRR,E,
s7r_022_067,S7R,022/067,ポケモン,水,ガラルダルマッカ,C,E,
s7r_023_067,S7R,023/067,ポケモン,水,ガラルヒヒダルマ,C,E,
s7r_024_067,S7R,024/067,ポケモン,水,フリージオ,C,E,
s7r_025_067,S7R,025/067,ポケモン,水,ヨワシ,U,E,
s7r_026_067,S7R,026/067,ポケモン,雷,メリープ,C,E,
s7r_027_067,S7R,027/067,ポケモン,雷,モココ,U,E,
s7r_028_067,S7R,028/067,ポケモン,雷,デンリュウ,U,E,
s7r_029_067,S7R,029/067,ポケモン,雷,プラスル,C,E,
s7r_030_067,S7R,030/067,ポケモン,雷,マイナン,C,E,
s7r_031_067,S7R,031/067,ポケモン,雷,エレズン,C,E,
s7r_032_067,S7R,032/067,ポケモン,雷,ストリンダー,R,E,
s7r_033_067,S7R,033/067,ポケモン,雷,レジエレキ,R,E,
s7r_034_067,S7R,034/067,ポケモン,闘,サンド,C,E,
s7r_035_067,S7R,035/067,ポケモン,闘,サンドパン,C,E,
s7r_036_067,S7R,036/067,ポケモン,闘,チャーレムV,RR,E,
s7r_037_067,S7R,037/067,ポケモン,闘,ヤジロン,C,E,
