master_id,expansion,cn,card_type,sub_type,name,rarity,regulation,is_mirror
sj_001_028,SJ,001/028,ポケモン,闘,リオル,,D,
sj_012_028,SJ,012/028,ポケモン,鋼,ルカリオ,,D,
sj_013_028,SJ,013/028,ポケモン,鋼,メルタン,,D,
sj_014_028,SJ,014/028,ポケモン,鋼,メルメタル,,D,
sj_015_028,SJ,015/028,ポケモン,鋼,ジュラルドン,,D,
sj_016_028,SJ,016/028,ポケモン,鋼,ザシアンV,,D,
sj_017_028,SJ,017/028,ポケモン,鋼,ザマゼンタV,,D,
sj_018_028,SJ,018/028,トレーナーズ,グッズ,クイックボール,,D,
sj_019_028,SJ,019/028,トレーナーズ,グッズ,しんかのおこう,,D,
sj_021_028,SJ,021/028,トレーナーズ,グッズ,ポケギア3.0,,D,
sj_022_028,SJ,022/028,トレーナーズ,グッズ,ポケモンいれかえ,,F,
sj_023_028,SJ,023/028,トレーナーズ,グッズ,メタルソーサー,,D,
sj_024_028,SJ,024/028,トレーナーズ,サポート,博士の研究 マグノリア博士,,D,
sj_026_028,SJ,026/028,トレーナーズ,サポート,ボスの指令 サカキ,,D,
sj_027_028,SJ,027/028,トレーナーズ,サポート,ホップ,,D,
sj_028_028,SJ,028/028,トレーナーズ,サポート,マリィ,,D,
sj_029_028,SJ,029/028,ポケモン,鋼,ザシアンV,,D,
sj_030_028,SJ,030/028,ポケモン,鋼,ザマゼンタV,,D,
sj_MET,SJ,MET,エネルギー,鋼,基本鋼エネルギー,,,
