market,link,price,name,date,datetime,stock
magi,/items/763715585,570,レックウザVMAX ,2022-11-03,2022-11-03 07:46:25,1
magi,/items/1914387697,350,レックウザVMAX ,2022-11-03,2022-11-03 07:46:25,1
magi,/items/1277746557,500,レックウザVMAX ,2022-11-03,2022-11-03 07:46:25,1
magi,/items/108127601,400,レックウザVMAX ,2022-11-03,2022-11-03 07:46:25,1
magi,/items/1229084005,1999,レックウザVMAX ,2022-11-03,2022-11-03 07:46:25,1
magi,/items/753323257,799,レックウザVMAX ,2022-11-03,2022-11-03 07:46:25,1
magi,/items/1216909810,999,レックウザVMAX ,2022-11-03,2022-11-03 07:46:25,1
magi,/items/1912220329,140,レックウザVMAX ,2022-11-03,2022-11-03 07:46:25,1
magi,/items/1300111922,150,レックウザVMAX ,2022-11-03,2022-11-03 07:46:25,1
magi,/items/1134349962,400,レックウザVMAX ,2022-11-03,2022-11-03 07:46:25,1
magi,/items/1125691908,160,レックウザVMAX ,2022-11-03,2022-11-03 07:46:25,1
