market,link,price,name,date,datetime,stock
magi,/items/1216418390,16000,ガラルの仲間たち S,2022-12-01,2022-12-01 09:22:32,1
magi,/items/1994367399,16000,ガラルの仲間たち S,2022-12-01,2022-12-01 09:22:32,1
magi,/items/714112259,18800,線あり ガラルの仲間,2022-12-01,2022-12-01 09:22:32,1
magi,/items/34988206,15500,最安値ガラルの仲間た,2022-12-01,2022-12-01 09:22:32,1
magi,/items/700728990,18000,ガラルの仲間たち S,2022-12-01,2022-12-01 09:22:32,1
magi,/items/863062523,17500,ガラルの仲間たち S,2022-12-01,2022-12-01 09:22:32,1
magi,/items/867314507,16699,最安値値下げガラルの,2022-12-01,2022-12-01 09:22:32,1
magi,/items/1760272892,20790,ガラルの仲間たち【S,2022-12-01,2022-12-01 09:22:32,1
magi,/items/1734208124,33333,ガラルの仲間たち S,2022-12-01,2022-12-01 09:22:32,1
magi,/items/617651081,16000,ガラルの仲間たち S,2022-12-01,2022-12-01 09:22:32,1
magi,/items/2054680592,21999,ガラルの仲間たち S,2022-12-01,2022-12-01 09:22:32,1
magi,/items/1296920718,65000,PSA10 ガラルの,2022-12-01,2022-12-01 09:22:32,1
magi,/items/234479333,17640,〔状態A-〕ガラルの,2022-12-01,2022-12-01 09:22:32,1
magi,/items/1112396745,17999,ガラルの仲間たち S,2022-12-01,2022-12-01 09:22:32,1
