market,link,price,name,date,datetime,stock
magi,/items/1317548340,300,ボスの指令[フラダリ,2023-01-31,2023-01-31 07:33:48,1
cardrush,https://www.cardrush-pokemon.jp/product/20623,80,ボスの指令フラダリ0,2023-01-31,2023-01-31 07:33:46,100
magi,/items/1317548340,300,ボスの指令[フラダリ,2023-01-30,2023-01-30 07:18:11,1
cardrush,https://www.cardrush-pokemon.jp/product/20623,80,ボスの指令フラダリ0,2023-01-30,2023-01-30 07:18:08,102
magi,/items/1317548340,300,ボスの指令[フラダリ,2023-01-29,2023-01-29 07:23:26,1
cardrush,https://www.cardrush-pokemon.jp/product/20623,80,ボスの指令フラダリ0,2023-01-29,2023-01-29 07:23:24,101
magi,/items/1317548340,300,ボスの指令[フラダリ,2023-01-28,2023-01-28 07:24:10,1
cardrush,https://www.cardrush-pokemon.jp/product/20623,80,ボスの指令フラダリ0,2023-01-28,2023-01-28 07:24:07,104
magi,/items/1317548340,300,ボスの指令[フラダリ,2023-01-27,2023-01-27 07:22:44,1
cardrush,https://www.cardrush-pokemon.jp/product/20623,80,ボスの指令フラダリ0,2023-01-27,2023-01-27 07:22:42,105
magi,/items/1317548340,300,ボスの指令[フラダリ,2023-01-26,2023-01-26 07:21:54,1
cardrush,https://www.cardrush-pokemon.jp/product/20623,80,ボスの指令フラダリ0,2023-01-26,2023-01-26 07:21:51,105
magi,/items/1317548340,300,ボスの指令[フラダリ,2023-01-25,2023-01-25 07:18:09,1
cardrush,https://www.cardrush-pokemon.jp/product/20623,80,ボスの指令フラダリ0,2023-01-25,2023-01-25 07:18:06,115
magi,/items/1317548340,300,ボスの指令[フラダリ,2023-01-24,2023-01-24 07:17:11,1
cardrush,https://www.cardrush-pokemon.jp/product/20623,80,ボスの指令フラダリ0,2023-01-24,2023-01-24 07:17:09,119
