market,link,price,name,date,datetime,stock
hareruya2,https://www.hareruya2.com/product/19779,50,ザルード(-){草},2022-12-12,2022-12-12 07:34:53,18
cardrush,https://www.cardrush-pokemon.jp/product/21353,50,ザルード006/05,2022-12-12,2022-12-12 07:34:52,46
torecolo,/shop/g/g006-053-SH-B/,24,【ポケカ】ＳＳ◇ザル,2022-12-12,2022-12-12 07:34:50,15
hareruya2,https://www.hareruya2.com/product/19779,50,ザルード(-){草},2022-12-11,2022-12-11 07:41:00,18
cardrush,https://www.cardrush-pokemon.jp/product/21353,50,ザルード006/05,2022-12-11,2022-12-11 07:40:58,46
torecolo,/shop/g/g006-053-SH-B/,24,【ポケカ】ＳＳ◇ザル,2022-12-11,2022-12-11 07:40:57,15
hareruya2,https://www.hareruya2.com/product/19779,50,ザルード(-){草},2022-12-10,2022-12-10 07:38:00,18
cardrush,https://www.cardrush-pokemon.jp/product/21353,50,ザルード006/05,2022-12-10,2022-12-10 07:37:58,46
torecolo,/shop/g/g006-053-SH-B/,24,【ポケカ】ＳＳ◇ザル,2022-12-10,2022-12-10 07:37:56,15
hareruya2,https://www.hareruya2.com/product/19779,50,ザルード(-){草},2022-12-09,2022-12-09 07:47:00,18
cardrush,https://www.cardrush-pokemon.jp/product/21353,50,ザルード006/05,2022-12-09,2022-12-09 07:46:59,46
torecolo,/shop/g/g006-053-SH-B/,24,【ポケカ】ＳＳ◇ザル,2022-12-09,2022-12-09 07:46:57,15
hareruya2,https://www.hareruya2.com/product/19779,50,ザルード(-){草},2022-12-08,2022-12-08 07:41:36,18
cardrush,https://www.cardrush-pokemon.jp/product/21353,50,ザルード006/05,2022-12-08,2022-12-08 07:41:35,46
torecolo,/shop/g/g006-053-SH-B/,24,【ポケカ】ＳＳ◇ザル,2022-12-08,2022-12-08 07:41:33,15
hareruya2,https://www.hareruya2.com/product/19779,50,ザルード(-){草},2022-12-07,2022-12-07 07:42:23,18
cardrush,https://www.cardrush-pokemon.jp/product/21353,50,ザルード006/05,2022-12-07,2022-12-07 07:42:21,46
torecolo,/shop/g/g006-053-SH-B/,24,【ポケカ】ＳＳ◇ザル,2022-12-07,2022-12-07 07:42:19,15
hareruya2,https://www.hareruya2.com/product/19779,50,ザルード(-){草},2022-12-06,2022-12-06 08:51:11,18
cardrush,https://www.cardrush-pokemon.jp/product/21353,50,ザルード006/05,2022-12-06,2022-12-06 08:51:10,46
torecolo,/shop/g/g006-053-SH-B/,24,【ポケカ】ＳＳ◇ザル,2022-12-06,2022-12-06 08:51:07,15
hareruya2,https://www.hareruya2.com/product/19779,50,ザルード(-){草},2022-12-05,2022-12-05 07:37:40,18
cardrush,https://www.cardrush-pokemon.jp/product/21353,50,ザルード006/05,2022-12-05,2022-12-05 07:37:38,46
torecolo,/shop/g/g006-053-SH-B/,24,【ポケカ】ＳＳ◇ザル,2022-12-05,2022-12-05 07:37:36,15
